Unnamed: 0,german,english
2881,gelandet,landed
2882,scheidung,divorce
2883,bart,beard
2884,beschlossen,decided
2885,klo,toilet
2886,riechen,smell
2887,vergisst,forgets
2888,begeistert,enthusiastic
2889,ei,egg
2890,durchs,through
2891,geil,cool
2892,nieder,low
2893,erkläre,explain
2894,schreckliche,terrible
2895,beeindruckt,impressed
2896,vince,Vince
2897,aufgegeben,abandoned
2898,aufgrund,because of
2899,momentan,at the moment
2900,solch,such
2901,meistens,mostly
2902,stress,stress
2903,sterne,stars
2904,heilen,heal
2905,soviel,so much
2906,kannten,knew
2907,stattdessen,instead
2908,aye,aye
2910,stimmung,mood
2911,bulle,bull
2912,aufgefallen,noticed
2913,kämpft,fights
2914,geräusch,noise
2915,künstler,artist
2916,wachsen,grow
2917,verurteilt,sentenced
2918,himmels,heaven
2919,tyler,Tyler
2920,urteil,verdict
2921,schweine,pigs
2922,nettes,nice
2923,house,house
2924,verlust,loss
2925,verließ,left
2926,wirf,throw
2927,wenige,few
2928,willie,Willie
2929,schulter,shoulder
2930,kalifornien,California
2931,lernt,learns
2932,beigebracht,taught
2933,normale,normal
2934,anbieten,offer
2935,verwenden,use
2936,gratuliere,congratulations
2937,fluch,curse
2938,rick,rick
2939,übers,over
2940,grün,green
2941,unterricht,instruction
2942,dachtest,thought
2943,verarschen,fool
2944,gewöhnt,used
2945,anklage,accusation
2946,tollen,great
2947,lippen,lips
2948,fett,fat
2949,lege,put
2950,feigling,coward
2951,achten,regard
2952,gary,Gary
2953,erfährt,learns
2954,gewohnt,used
2955,jessica,Jessica
2956,äußerst,extremely
2957,einladen,invite
2958,käse,cheese
2959,aufwachen,wake up
2960,verfügung,disposal
2961,uniform,uniform
2962,zusehen,watch
2963,board.tvuser.de,board.tvuser.de
2964,gesundheit,health
2965,abenteuer,adventure
2966,hosen,pants
2967,kurze,short
2968,scheck,check
2969,täglich,daily
2970,fresse,face
2971,übernehme,take over
2972,wiederholen,repeat
2973,bestellen,order
2974,freiwillig,voluntarily
2975,cole,Cole
2976,universum,universe
2977,zeuge,witness
2978,west,west
2979,marshall,Marshall
2980,fähig,capable
2981,revier,territory
2982,reifen,tires
2983,mum,mom
2984,führe,lead
2985,durchgemacht,gone through
2986,tests,tests
2987,führte,led
2988,schenken,give
2989,schädel,skull
2990,realität,reality
2991,april,April
2992,albern,silly
2993,brav,well-behaved
2994,schwerer,heavier
2995,jagd,hunting
2996,versagt,failed
2997,truck,truck
